,Servprint,Colégio Farias Brito Central,Colégio Ari de Sá Cavalcante,Colégio Antares,Colégio Christus,Colégio 7 de Setembro,Colégio Master,Colégio Santo Tomás de Aquino,Colégio Santa Cecília,Colégio Provecto,Colégio Lourenço Filho,Diretório Estadual do Partido Novo Ceará,Avante,Partido Verde - Ceará,MDB,Partido Democrático Trabalhista | PDT Ceará,Partido dos Trabalhadores Diretório Estadual do Ceará,Republicanos Ceará,Partido Liberal - Comitê de Caucaia,PSDB Partido da Social Democracia Brasileira,União Brasil Fortaleza,Coco Bambu,Outback Steakhouse,Carneiro do Ordones,Cervejaria Turatti,Santa Grelha Iguatemi,Restaurante Brazão,Chico do Caranguejo,Cantinho do Frango,Mangue Azul,Misaki
Servprint,0.0,9.46297484397663,12.12435275057896,9.322465754399937,11.717226894937472,9.397595269694396,8.78777475557778,5.576744366800586,8.251538721150753,6.886568101345035,8.066241129700476,8.245180037311163,9.117571506145008,7.720801083317716,9.025801001998435,8.020342822225068,4.166296302952678,3.4582818388084338,9.541901003739323,9.10522096595012,1.3379340135533861,9.469947086519696,9.654936442738247,2.56384372664679,9.208177657062484,9.654936442738247,6.884488498049665,14.346184370637229,6.880979700622338,8.984611736987206,9.235642919558503
Colégio Farias Brito Central,9.46297484397663,0.0,6.42512331029587,1.4739648854220213,2.6828525407554653,0.9070112374617282,0.930852788962276,4.998620572088619,1.61747907801425,11.46605557527295,2.0623247084003222,1.3372782239377565,0.5931689627032346,2.4634290671343195,0.5689924463119751,1.5776568235201587,5.36970612446085,7.63143831733561,19.000872879201676,1.0363795731083245,8.354527386311526,0.865615652369332,2.66274257117295,6.940679388722562,0.286023149024254,2.66274257117295,2.9437480019129856,5.296663095276272,2.607421604604161,0.6316465526805829,0.22738924702341634
Colégio Ari de Sá Cavalcante,12.12435275057896,6.42512331029587,0.0,5.039647760566029,4.924684712106775,5.551739295876397,7.155355163143001,6.6175599931686,5.774882674612294,10.039701908647507,5.509572564866762,6.213976888516009,6.018195554014999,5.538017066095772,6.847918665830264,7.331837629213648,8.47330648282338,8.873371442583647,20.731348247453024,5.560398918832588,10.786419002970158,7.28724894152995,3.853099100838485,9.812436958649624,6.337847492649268,3.853099100838485,8.360889104714035,5.4153222310478775,6.968551800290328,6.115246665568973,6.454311198288447
Colégio Antares,9.322465754399937,1.4739648854220213,5.039647760566029,0.0,2.402237400087312,0.57029519416963,2.115798125133261,4.251485705291084,1.114083404710187,10.440295585839012,1.2653749656120086,1.3551872804803504,0.9841317013045757,1.6520642800097636,1.8174252681115537,2.3712891701719663,5.157097594359957,7.016217578993837,18.77254459184771,0.5221373678578413,8.105236870471733,2.3274479744650867,1.2069758296471382,6.75863115616289,1.3236823125776276,1.2069758296471382,3.602321635201412,5.029002828937528,2.5991292273357987,1.0756038890734003,1.447076160037568
Colégio Christus,11.717226894937472,2.6828525407554653,4.924684712106775,2.402237400087312,0.0,2.3616881690383558,3.6115562246958093,6.592713371615034,3.4696668531264594,12.479942419343244,3.6673854787655142,3.550826912156424,2.74845236315847,4.045198827271593,3.251644637915732,4.2258747662661404,7.550949538119967,9.370590892206824,21.174644278196215,2.6347153403801054,10.506913908386657,3.29854132782454,2.546059569477758,9.153795286352794,2.821543810657871,2.546059569477758,5.591573830993223,2.6748378005609403,4.908121593234564,2.896063108243752,2.864823306916721
Colégio 7 de Setembro,9.397595269694396,0.9070112374617282,5.551739295876397,0.57029519416963,2.3616881690383558,0.0,1.6276226789182162,4.539568445049574,1.1676672225775049,10.858593937323395,1.4941772220922276,1.1893363699626998,0.4945875646250524,1.912948211286862,1.3001382734088478,2.012880954304017,5.238772493773511,7.2683755500125455,18.895070056192385,0.3036622757915406,8.21860565808288,1.7671198867196312,1.7575985609152311,6.839705255356319,0.786174114780201,1.7575985609152311,3.3283948157127607,5.0356929885416495,2.5497393371189685,0.626176503486998,0.9032746130286146
Colégio Master,8.78777475557778,0.930852788962276,7.155355163143001,2.115798125133261,3.6115562246958093,1.6276226789182162,0.0,4.755665490657901,1.7153969246490461,11.315683869186689,2.173900053681281,1.2534786629188357,1.141844658222873,2.4929694181531503,0.3636600451614318,0.7678555527013291,4.793892362998531,7.232218688793303,18.327721326180956,1.5963164928921978,7.7414247432389285,0.7090249949209045,3.3141562894183534,6.314027440103844,0.8661009502646269,3.3141562894183534,2.073743393068939,6.206682202303353,2.1068612290946174,1.04025877421505,0.7794633734960161
Colégio Santo Tomás de Aquino,5.576744366800586,4.998620572088619,6.6175599931686,4.251485705291084,6.592713371615034,4.539568445049574,4.755665490657901,0.0,3.417404735161926,6.569794432605903,3.0455334662195845,3.669585632964477,4.467041538881444,2.6279455319435394,4.803064845774791,4.163454284154537,2.000990701571791,2.7785760425410477,14.720087610860539,4.239720798989662,4.25090281736316,5.433618393029529,4.238383061251418,3.1949885669016553,4.7127009842493,4.238383061251418,3.957828820187596,9.070678225079952,2.7384107266477495,4.3811706381393645,4.796850213648276
Colégio Santa Cecília,8.251538721150753,1.61747907801425,5.774882674612294,1.114083404710187,3.4696668531264594,1.1676672225775049,1.7153969246490461,3.417404735161926,0.0,9.849036582387605,0.46686325002465273,0.48496971698052066,1.0548158469343516,0.8471612039980588,1.587561441457179,1.5980642084766823,4.086811777711086,6.1164826300917055,17.735112308589127,0.8656171482790964,7.058925747662826,2.238471467672181,1.984676835041371,5.689688172093869,1.3384312126832894,1.984676835041371,2.619402744592064,6.123885707081178,1.4863325808969752,0.9861262966407207,1.442037802349485
Colégio Provecto,6.886568101345035,11.46605557527295,10.039701908647507,10.440295585839012,12.479942419343244,10.858593937323395,11.315683869186689,6.569794432605903,9.849036582387605,0.0,9.416209777337077,10.174933582437154,10.897208541190302,9.005772959487599,11.337518528798068,10.732406922527137,7.37194789958618,4.72743637384189,11.774020519874654,10.580799606426286,6.234882005320476,11.980173584343781,9.934197086636912,6.8636474242689065,11.18471145751054,9.934197086636912,10.367497232777191,14.505173182434532,9.301312929851752,10.835113616305554,11.281950881948548
Colégio Lourenço Filho,8.066241129700476,2.0623247084003222,5.509572564866762,1.2653749656120086,3.6673854787655142,1.4941772220922276,2.173900053681281,3.0455334662195845,0.46686325002465273,9.416209777337077,0.0,0.9249269238073943,1.482581762333955,0.41975808115029895,2.054415900499458,1.9838589280744818,3.904695143783295,5.784057037145828,17.507267753108437,1.1956549888194714,6.841588173123796,2.7051464021129368,1.8383337849646895,5.503133259836385,1.7890572289070383,1.8383337849646895,2.8518470133312466,6.279996880485898,1.5249221104516615,1.4319940095276158,1.8974860058496623
Diretório Estadual do Partido Novo Ceará,8.245180037311163,1.3372782239377565,6.213976888516009,1.3551872804803504,3.550826912156424,1.1893363699626998,1.2534786629188357,3.669585632964477,0.48496971698052066,10.174933582437154,0.9249269238073943,0.0,0.8772560431298242,1.2443228062994256,1.175806263206467,1.1267958756268555,4.1044847352704625,6.296090212766479,17.76334405059476,0.934777068610946,7.093427348914432,1.830008105881293,2.3861184553522405,5.6968939843501225,1.0521201851530066,2.3861184553522405,2.2520490776106588,6.225025034675242,1.3705846713827823,0.755176865853594,1.1286248577094586
Avante,9.117571506145008,0.5931689627032346,6.018195554014999,0.9841317013045757,2.74845236315847,0.4945875646250524,1.141844658222873,4.467041538881444,1.0548158469343516,10.897208541190302,1.482581762333955,0.8772560431298242,0.0,1.8916376745899561,0.8332939550440002,1.532781075293408,4.9813817336473685,7.141493707862073,18.639325491494176,0.4822167981422428,7.970498578032391,1.377106898483655,2.1905749638852274,6.572305959551641,0.3597628922535254,2.1905749638852274,2.8703026827952374,5.418436912300909,2.2372599095398735,0.14800320107132103,0.485954802518847
Partido Verde - Ceará,7.720801083317716,2.4634290671343195,5.538017066095772,1.6520642800097636,4.045198827271593,1.912948211286862,2.4929694181531503,2.6279455319435394,0.8471612039980588,9.005772959487599,0.41975808115029895,1.2443228062994256,1.8916376745899561,0.0,2.4114736229913443,2.1966687155223634,3.5726604055482825,5.373909183458161,17.13461587257585,1.6152117610484735,6.479951762105437,3.0661216581264603,2.0386198757786564,5.161753859068861,2.185451112425692,2.0386198757786564,2.8800435655059835,6.631842912526702,1.4307761096039378,1.831783052795754,2.28897858159175
MDB,9.025801001998435,0.5689924463119751,6.847918665830264,1.8174252681115537,3.251644637915732,1.3001382734088478,0.3636600451614318,4.803064845774791,1.587561441457179,11.337518528798068,2.054415900499458,1.175806263206467,0.8332939550440002,2.4114736229913443,0.0,1.046030663269114,4.9830737863938745,7.350678386587426,18.567695758884618,1.308912552272751,7.951518091518264,0.6548821986187906,3.023707776526337,6.5284562924420975,0.5192157052371741,3.023707776526337,2.3970577417583745,5.857342401036408,2.245595408625939,0.7586605289024025,0.42082163173318526
Partido Democrático Trabalhista | PDT Ceará,8.020342822225068,1.5776568235201587,7.331837629213648,2.3712891701719663,4.2258747662661404,2.012880954304017,0.7678555527013291,4.163454284154537,1.5980642084766823,10.732406922527137,1.9838589280744818,1.1267958756268555,1.532781075293408,2.1966687155223634,1.046030663269114,0.0,4.046981753062615,6.539165875703649,17.55997509699001,1.8677904286941203,6.981078248946078,1.4582085074765014,3.4887813640127625,5.55268765911099,1.404523067742116,3.4887813640127625,1.368912932987458,6.866502821984038,1.4387839805138372,1.3903214449578554,1.371466313666644
Partido dos Trabalhadores Diretório Estadual do Ceará,4.166296302952678,5.36970612446085,8.47330648282338,5.157097594359957,7.550949538119967,5.238772493773511,4.793892362998531,2.000990701571791,4.086811777711086,7.37194789958618,3.904695143783295,4.1044847352704625,4.9813817336473685,3.5726604055482825,4.9830737863938745,4.046981753062615,0.0,2.724748408293937,13.660359109871127,4.943855042046657,2.989406663147147,5.499586470611155,5.5579520081769775,1.603053311936919,5.102561069780632,5.5579520081769775,3.2006817158245275,10.183613626569572,2.76254005286881,4.853908748988059,5.1432111798550855
Republicanos Ceará,3.4582818388084338,7.63143831733561,8.873371442583647,7.016217578993837,9.370590892206824,7.2683755500125455,7.232218688793303,2.7785760425410477,6.1164826300917055,4.72743637384189,5.784057037145828,6.296090212766479,7.141493707862073,5.373909183458161,7.350678386587426,6.539165875703649,2.724748408293937,0.0,12.023655478299116,6.965324540869512,2.212578282712699,7.93781989887851,6.99631476677589,2.2150989962059,7.347473948440118,6.99631476677589,5.884436172139296,11.83784357847319,5.125390391389198,7.039693343829878,7.416289358842523
Partido Liberal - Comitê de Caucaia,9.541901003739323,19.000872879201676,20.731348247453024,18.77254459184771,21.174644278196215,18.895070056192385,18.327721326180956,14.720087610860539,17.735112308589127,11.774020519874654,17.507267753108437,17.76334405059476,18.639325491494176,17.13461587257585,18.567695758884618,17.55997509699001,13.660359109871127,12.023655478299116,0.0,18.597563873569907,10.676527834700233,19.00580728233753,18.95195419810941,12.067323768688732,18.742998767367983,18.95195419810941,16.389889024200883,23.75287129473103,16.40807485869882,18.509486987579894,18.77348391678918
PSDB Partido da Social Democracia Brasileira,9.10522096595012,1.0363795731083245,5.560398918832588,0.5221373678578413,2.6347153403801054,0.3036622757915406,1.5963164928921978,4.239720798989662,0.8656171482790964,10.580799606426286,1.1956549888194714,0.934777068610946,0.4822167981422428,1.6152117610484735,1.308912552272751,1.8677904286941203,4.943855042046657,6.965324540869512,18.597563873569907,0.0,7.921047874521189,1.8561038397688359,1.7188610063362242,6.545706176448716,0.8385140206639016,1.7188610063362242,3.1384014644821114,5.304209849014135,2.274060191308523,0.5566957551489682,0.9647745302899267
União Brasil Fortaleza,1.3379340135533861,8.354527386311526,10.786419002970158,8.105236870471733,10.506913908386657,8.21860565808288,7.7414247432389285,4.25090281736316,7.058925747662826,6.234882005320476,6.841588173123796,7.093427348914432,7.970498578032391,6.479951762105437,7.951518091518264,6.981078248946078,2.989406663147147,2.212578282712699,10.676527834700233,7.921047874521189,0.0,8.439268709118878,8.375087160442439,1.4293417638019803,8.089650314526637,8.375087160442439,5.954475664671692,13.11161141950048,5.749394113215377,7.843310432655529,8.127588855943412
Coco Bambu,9.469947086519696,0.865615652369332,7.28724894152995,2.3274479744650867,3.29854132782454,1.7671198867196312,0.7090249949209045,5.433618393029529,2.238471467672181,11.980173584343781,2.7051464021129368,1.830008105881293,1.377106898483655,3.0661216581264603,0.6548821986187906,1.4582085074765014,5.499586470611155,7.93781989887851,19.00580728233753,1.8561038397688359,8.439268709118878,0.0,3.52471669924209,7.0107854922048825,1.0179321755932544,3.52471669924209,2.6743640687236074,5.784551374979012,2.813323748723107,1.345970636302902,0.8915675765989888
Outback Steakhouse,9.654936442738247,2.66274257117295,3.853099100838485,1.2069758296471382,2.546059569477758,1.7575985609152311,3.3141562894183534,4.238383061251418,1.984676835041371,9.934197086636912,1.8383337849646895,2.3861184553522405,2.1905749638852274,2.0386198757786564,3.023707776526337,3.4887813640127625,5.5579520081769775,6.99631476677589,18.95195419810941,1.7188610063362242,8.375087160442439,3.52471669924209,0.0,7.1181246106039895,2.5295261651554934,0.0,4.603990964451843,4.843575798902251,3.362697486455107,2.275531174777792,2.6519687335489883
Carneiro do Ordones,2.56384372664679,6.940679388722562,9.812436958649624,6.75863115616289,9.153795286352794,6.839705255356319,6.314027440103844,3.1949885669016553,5.689688172093869,6.8636474242689065,5.503133259836385,5.6968939843501225,6.572305959551641,5.161753859068861,6.5284562924420975,5.55268765911099,1.603053311936919,2.2150989962059,12.067323768688732,6.545706176448716,1.4293417638019803,7.0107854922048825,7.1181246106039895,0.0,6.679097185984086,7.1181246106039895,4.536085238555652,11.783109987548329,4.341356824504015,6.442165879934785,6.713430417566437
Cervejaria Turatti,9.208177657062484,0.286023149024254,6.337847492649268,1.3236823125776276,2.821543810657871,0.786174114780201,0.8661009502646269,4.7127009842493,1.3384312126832894,11.18471145751054,1.7890572289070383,1.0521201851530066,0.3597628922535254,2.185451112425692,0.5192157052371741,1.404523067742116,5.102561069780632,7.347473948440118,18.742998767367983,0.8385140206639016,8.089650314526637,1.0179321755932544,2.5295261651554934,6.679097185984086,0.0,2.5295261651554934,2.771956319104679,5.465784188272878,2.3403249170937213,0.3585330798465972,0.12636669182162033
Santa Grelha Iguatemi,9.654936442738247,2.66274257117295,3.853099100838485,1.2069758296471382,2.546059569477758,1.7575985609152311,3.3141562894183534,4.238383061251418,1.984676835041371,9.934197086636912,1.8383337849646895,2.3861184553522405,2.1905749638852274,2.0386198757786564,3.023707776526337,3.4887813640127625,5.5579520081769775,6.99631476677589,18.95195419810941,1.7188610063362242,8.375087160442439,3.52471669924209,0.0,7.1181246106039895,2.5295261651554934,0.0,4.603990964451843,4.843575798902251,3.362697486455107,2.275531174777792,2.6519687335489883
Restaurante Brazão,6.884488498049665,2.9437480019129856,8.360889104714035,3.602321635201412,5.591573830993223,3.3283948157127607,2.073743393068939,3.957828820187596,2.619402744592064,10.367497232777191,2.8518470133312466,2.2520490776106588,2.8703026827952374,2.8800435655059835,2.3970577417583745,1.368912932987458,3.2006817158245275,5.884436172139296,16.389889024200883,3.1384014644821114,5.954475664671692,2.6743640687236074,4.603990964451843,4.536085238555652,2.771956319104679,4.603990964451843,0.0,8.235415693198771,1.519400682662947,2.7234605738532123,2.7402047923263844
Chico do Caranguejo,14.346184370637229,5.296663095276272,5.4153222310478775,5.029002828937528,2.6748378005609403,5.0356929885416495,6.206682202303353,9.070678225079952,6.123885707081178,14.505173182434532,6.279996880485898,6.225025034675242,5.418436912300909,6.631842912526702,5.857342401036408,6.866502821984038,10.183613626569572,11.83784357847319,23.75287129473103,5.304209849014135,13.11161141950048,5.784551374979012,4.843575798902251,11.783109987548329,5.465784188272878,4.843575798902251,8.235415693198771,0.0,7.578146229489738,5.565463265105457,5.49546024442091
Cantinho do Frango,6.880979700622338,2.607421604604161,6.968551800290328,2.5991292273357987,4.908121593234564,2.5497393371189685,2.1068612290946174,2.7384107266477495,1.4863325808969752,9.301312929851752,1.5249221104516615,1.3705846713827823,2.2372599095398735,1.4307761096039378,2.245595408625939,1.4387839805138372,2.76254005286881,5.125390391389198,16.40807485869882,2.274060191308523,5.749394113215377,2.813323748723107,3.362697486455107,4.341356824504015,2.3403249170937213,3.362697486455107,1.519400682662947,7.578146229489738,0.0,2.1036331940206217,2.381199831064843
Mangue Azul,8.984611736987206,0.6316465526805829,6.115246665568973,1.0756038890734003,2.896063108243752,0.626176503486998,1.04025877421505,4.3811706381393645,0.9861262966407207,10.835113616305554,1.4319940095276158,0.755176865853594,0.14800320107132103,1.831783052795754,0.7586605289024025,1.3903214449578554,4.853908748988059,7.039693343829878,18.509486987579894,0.5566957551489682,7.843310432655529,1.345970636302902,2.275531174777792,6.442165879934785,0.3585330798465972,2.275531174777792,2.7234605738532123,5.565463265105457,2.1036331940206217,0.0,0.47439074360049893
Misaki,9.235642919558503,0.22738924702341634,6.454311198288447,1.447076160037568,2.864823306916721,0.9032746130286146,0.7794633734960161,4.796850213648276,1.442037802349485,11.281950881948548,1.8974860058496623,1.1286248577094586,0.485954802518847,2.28897858159175,0.42082163173318526,1.371466313666644,5.1432111798550855,7.416289358842523,18.77348391678918,0.9647745302899267,8.127588855943412,0.8915675765989888,2.6519687335489883,6.713430417566437,0.12636669182162033,2.6519687335489883,2.7402047923263844,5.49546024442091,2.381199831064843,0.47439074360049893,0.0
